Id;Nome;Wikipedia;Lingua;Foto
1;Loggia dei Lanzi;https://en.wikipedia.org/wiki/Loggia_dei_Lanzi;Eng;1$3$14$9$2
2;Perseo e medusa;https://en.wikipedia.org/wiki/Perseus_with_the_Head_of_Medusa;Eng;1$2$9
3;Palazzo Vecchio;https://en.wikipedia.org/wiki/Palazzo_Vecchio;Eng;1$3$5$6$7$12$16$17
4;Galleria degli Uffizi;https://en.wikipedia.org/wiki/Uffizi;Eng;1$3$16
5;Nettuno di Firenze;https://en.wikipedia.org/wiki/Fountain_of_Neptune,_Florence;Eng;5$6$7
6;Statua Cosimo de Medici;https://en.wikipedia.org/wiki/Equestrian_Monument_of_Cosimo_I;Eng;5$17
7;David Michelangelo piazza signoria;;Eng;1$6$12
8;Ratto delle sabine;https://en.wikipedia.org/wiki/Abduction_of_a_Sabine_Woman;Eng;1
9;Ercole e il centauro;https://en.wikipedia.org/wiki/Nessus_(mythology);Eng;3
10;Ratto di Polissesena;https://it.wikipedia.org/wiki/Ratto_di_Polissena;Ita;2$9$14
11;Patroclo e Menelao;https://en.wikipedia.org/wiki/Perseus_with_the_Head_of_Medusa;Eng;14
